phase,run_name,continuous_noise,generalization_condition,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
continuous_frontend_bridge,exp13_full_context_separated_memory,0.0,continuous_noisy_start_state,1.0,0.0,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_full_context_separated_memory,0.05,continuous_noisy_start_state,1.0,0.0,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_full_context_separated_memory,0.1,continuous_noisy_start_state,1.0,0.0,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_full_context_separated_memory,0.2,continuous_noisy_start_state,0.9911458333333334,0.002139541240254577,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.9919921875,0.0035480277587080014,5,0.9885416666666667,0.0010894010762162877,5
continuous_frontend_bridge,exp13_full_context_separated_memory,0.35,continuous_noisy_start_state,0.7924479166666666,0.00557011709276237,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.75859375,0.018183478366309538,5,0.7401041666666667,0.01159512336504854,5
continuous_frontend_bridge,exp13_full_context_separated_memory,0.5,continuous_noisy_start_state,0.5799479166666667,0.010277389198266207,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.4794921875,0.01227520028318021,5,0.4677083333333333,0.01996905157570918,5
continuous_frontend_bridge,exp13_full_context_separated_memory,0.75,continuous_noisy_start_state,0.42109375,0.014340661356519136,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.262890625,0.01699050368812448,5,0.26276041666666666,0.015984365666066567,5
continuous_frontend_bridge,exp13_full_context_separated_memory,1.0,continuous_noisy_start_state,0.34713541666666664,0.031026763410691997,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.171875,0.0170129408107269,5,0.16979166666666667,0.015532495269215262,5
continuous_frontend_bridge,exp13_no_recurrence,0.0,continuous_noisy_start_state,0.035416666666666666,0.005478042699990267,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_recurrence,0.05,continuous_noisy_start_state,0.035416666666666666,0.007331087635551693,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_recurrence,0.1,continuous_noisy_start_state,0.03854166666666667,0.00339541791937638,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_recurrence,0.2,continuous_noisy_start_state,0.04114583333333334,0.008955077533359059,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.9919921875,0.0035480277587080014,5,0.98984375,0.0026684767619686335,5
continuous_frontend_bridge,exp13_no_recurrence,0.35,continuous_noisy_start_state,0.0421875,0.004178855868719067,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.75859375,0.018183478366309538,5,0.7541666666666667,0.01541745845376635,5
continuous_frontend_bridge,exp13_no_recurrence,0.5,continuous_noisy_start_state,0.04583333333333334,0.00899286283845417,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.4794921875,0.01227520028318021,5,0.4752604166666667,0.019939313582179072,5
continuous_frontend_bridge,exp13_no_recurrence,0.75,continuous_noisy_start_state,0.04088541666666666,0.005866604336494171,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.262890625,0.01699050368812448,5,0.246875,0.023230422004570123,5
continuous_frontend_bridge,exp13_no_recurrence,1.0,continuous_noisy_start_state,0.041666666666666664,0.002435974861180952,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,1536.0,0.0,5,0.171875,0.0170129408107269,5,0.15911458333333334,0.01110212174338135,5
continuous_frontend_bridge,exp13_no_structural_plasticity,0.0,continuous_noisy_start_state,0.03020833333333333,0.010310329632723521,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_structural_plasticity,0.05,continuous_noisy_start_state,0.034375,0.004748589200211058,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_structural_plasticity,0.1,continuous_noisy_start_state,0.03072916666666666,0.006285165826118317,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_structural_plasticity,0.2,continuous_noisy_start_state,0.034375,0.008955077533359062,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,0.9919921875,0.0035480277587080014,5,0.9934895833333334,0.0033196741624952997,5
continuous_frontend_bridge,exp13_no_structural_plasticity,0.35,continuous_noisy_start_state,0.03333333333333333,0.009682808563842816,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,0.75859375,0.018183478366309538,5,0.7533854166666667,0.023646349572191423,5
continuous_frontend_bridge,exp13_no_structural_plasticity,0.5,continuous_noisy_start_state,0.03255208333333333,0.009656508446739143,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,0.4794921875,0.01227520028318021,5,0.46953125,0.020247291163984552,5
continuous_frontend_bridge,exp13_no_structural_plasticity,0.75,continuous_noisy_start_state,0.026041666666666668,0.007920263711325808,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,0.262890625,0.01699050368812448,5,0.2640625,0.015195931730099107,5
continuous_frontend_bridge,exp13_no_structural_plasticity,1.0,continuous_noisy_start_state,0.03072916666666667,0.009142442542469773,5,,,0,,,0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,0.171875,0.0170129408107269,5,0.17239583333333333,0.01297518038370115,5
continuous_frontend_bridge,exp13_no_world_context,0.0,continuous_noisy_start_state,0.034895833333333334,0.00425922584213441,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5,,,0,,,0,1210.8,9.80815986819137,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_world_context,0.05,continuous_noisy_start_state,0.03333333333333333,0.007048108647252272,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5,,,0,,,0,1210.8,9.80815986819137,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_world_context,0.1,continuous_noisy_start_state,0.03619791666666667,0.007331087635551692,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5,,,0,,,0,1210.8,9.80815986819137,5,1.0,0.0,5,1.0,0.0,5
continuous_frontend_bridge,exp13_no_world_context,0.2,continuous_noisy_start_state,0.03333333333333334,0.004566582790820362,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5,,,0,,,0,1210.8,9.80815986819137,5,0.9919921875,0.0035480277587080014,5,0.9911458333333334,0.0036131346160186376,5
continuous_frontend_bridge,exp13_no_world_context,0.35,continuous_noisy_start_state,0.03307291666666667,0.00635224526960962,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5,,,0,,,0,1210.8,9.80815986819137,5,0.75859375,0.018183478366309538,5,0.7447916666666666,0.028925598817087308,5
continuous_frontend_bridge,exp13_no_world_context,0.5,continuous_noisy_start_state,0.034895833333333334,0.005076455387921337,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5,,,0,,,0,1210.8,9.80815986819137,5,0.4794921875,0.01227520028318021,5,0.478125,0.010831580387023643,5
continuous_frontend_bridge,exp13_no_world_context,0.75,continuous_noisy_start_state,0.038802083333333334,0.008508494402450282,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5,,,0,,,0,1210.8,9.80815986819137,5,0.262890625,0.01699050368812448,5,0.26432291666666663,0.023437500000000003,5
continuous_frontend_bridge,exp13_no_world_context,1.0,continuous_noisy_start_state,0.03463541666666667,0.00914244254246977,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5,,,0,,,0,1210.8,9.80815986819137,5,0.171875,0.0170129408107269,5,0.16197916666666665,0.019282267159826328,5
